350000.0	450000.0	.0026440000000000001	N	3.1.2     	MET 
450000.0	600000.0	.002284	N	3.1.2     	MET 
600000.0	800000.0	.001923	N	3.1.2     	MET 
800000.0	1000000.0	.0015629999999999999	N	3.1.2     	MET 
1000000.0	999999999.0	.0012019999999999999	S	3.1.2     	MET 
0.0	6010.1199999999999	.050000000000000003	N	4.3       	ARB 
6010.1199999999999	30050.610000000001	.040000000000000001	N	4.3       	ARB 
30050.610000000001	60101.209999999999	.029999999999999999	N	4.3       	ARB 
60101.209999999999	300506.04999999999	.02	N	4.3       	ARB 
300506.04999999999	999999999.0	.01	S	4.3       	ARB 
-1.0	3010.0	3.8999999999999999	N	5.1       	H   
3010.0	6010.0	3.7200000000000002	N	5.1       	H   
6010.0	12020.0	3.3999999999999999	N	5.1       	H   
12020.0	24040.0	3.1200000000000001	N	5.1       	H   
24040.0	36060.0	2.9399999999999999	N	5.1       	H   
36060.0	48080.0	2.8199999999999998	N	5.1       	H   
48080.0	60100.0	2.7000000000000002	N	5.1       	H   
60100.0	120200.0	2.5499999999999998	N	5.1       	H   
120200.0	180300.0	2.3799999999999999	N	5.1       	H   
180300.0	240400.0	2.2799999999999998	N	5.1       	H   
240400.0	360610.0	2.1899999999999999	N	5.1       	H   
360610.0	480810.0	2.1099999999999999	N	5.1       	H   
480810.0	601010.0	2.04	N	5.1       	H   
601010.0	721210.0	1.99	N	5.1       	H   
721210.0	841420.0	1.96	N	5.1       	H   
841420.0	961620.0	1.9199999999999999	N	5.1       	H   
961620.0	1081820.0	1.8700000000000001	N	5.1       	H   
1081820.0	1202020.0	1.8600000000000001	N	5.1       	H   
1202020.0	1502530.0	1.8	N	5.1       	H   
1502530.0	1803040.0	1.77	N	5.1       	H   
1803040.0	2103540.0	1.72	N	5.1       	H   
2103540.0	2404050.0	1.6799999999999999	N	5.1       	H   
2404050.0	3005060.0	1.6499999999999999	N	5.1       	H   
3005060.0	3906580.0	1.6000000000000001	N	5.1       	H   
3906580.0	999999999.0	1.5600000000000001	S	5.1       	H   
0.0	6010.1199999999999	1.0	N	5.6       	@   
6010.1199999999999	30050.610000000001	.90000000000000002	N	5.6       	@   
30050.610000000001	90151.820000000007	.80000000000000004	N	5.6       	@   
90151.820000000007	150253.03	.69999999999999996	N	5.6       	@   
150253.03	180303.63	.59999999999999998	N	5.6       	@   
180303.63	300506.04999999999	.5	N	5.6       	@   
300506.04999999999	999999999.0	.5	S	5.6       	@   
0.0	100.0	.40000000000000002	N	5.9       	EDF 
0.0	31000.0	1.0600000000000001	N	5.9       	URB 
100.0	200.0	.37	N	5.9       	EDF 
200.0	400.0	.34000000000000002	N	5.9       	EDF 
400.0	600.0	.31	N	5.9       	EDF 
600.0	800.0	.29999999999999999	N	5.9       	EDF 
800.0	1000.0	.28999999999999998	N	5.9       	EDF 
1000.0	2000.0	.27000000000000002	N	5.9       	EDF 
2000.0	3000.0	.26000000000000001	N	5.9       	EDF 
3000.0	4000.0	.25	N	5.9       	EDF 
4000.0	6000.0	.23000000000000001	N	5.9       	EDF 
6000.0	8000.0	.23000000000000001	N	5.9       	EDF 
8000.0	12000.0	.22	N	5.9       	EDF 
12000.0	14000.0	.20999999999999999	N	5.9       	EDF 
14000.0	18000.0	.20000000000000001	N	5.9       	EDF 
18000.0	20000.0	.20000000000000001	N	5.9       	EDF 
20000.0	25000.0	.19	N	5.9       	EDF 
25000.0	35000.0	.19	N	5.9       	EDF 
31000.0	41000.0	1.0	N	5.9       	URB 
35000.0	40000.0	.17999999999999999	N	5.9       	EDF 
40000.0	65000.0	.17000000000000001	N	5.9       	EDF 
41000.0	61000.0	.93000000000000005	N	5.9       	URB 
61000.0	81000.0	.89000000000000001	N	5.9       	URB 
65000.0	80000.0	.17000000000000001	N	5.9       	EDF 
80000.0	120000.0	.16	N	5.9       	EDF 
81000.0	122000.0	.84999999999999998	N	5.9       	URB 
120000.0	140000.0	.16	N	5.9       	EDF 
122000.0	163000.0	.82999999999999996	N	5.9       	URB 
140000.0	180000.0	.14999999999999999	N	5.9       	EDF 
163000.0	204000.0	.81000000000000005	N	5.9       	URB 
180000.0	999999999.0	.14000000000000001	S	5.9       	EDF 
204000.0	244000.0	.79000000000000004	N	5.9       	URB 
244000.0	285000.0	.77000000000000002	N	5.9       	URB 
285000.0	346000.0	.76000000000000001	N	5.9       	URB 
346000.0	407000.0	.73999999999999999	N	5.9       	URB 
407000.0	509000.0	.72999999999999998	N	5.9       	URB 
509000.0	611000.0	.71999999999999997	N	5.9       	URB 
611000.0	815000.0	.69999999999999996	N	5.9       	URB 
815000.0	1222000.0	.66000000000000003	N	5.9       	URB 
1222000.0	1630000.0	.63	N	5.9       	URB 
1630000.0	2037000.0	.59999999999999998	N	5.9       	URB 
2037000.0	2649000.0	.56000000000000005	N	5.9       	URB 
2649000.0	3260000.0	.53000000000000003	N	5.9       	URB 
3260000.0	4075000.0	.5	N	5.9       	URB 
4075000.0	5094000.0	.46000000000000002	N	5.9       	URB 
5094000.0	6112000.0	.45000000000000001	N	5.9       	URB 
6112000.0	7131000.0	.42999999999999999	N	5.9       	URB 
7131000.0	8150000.0	.41999999999999998	N	5.9       	URB 
8150000.0	10187000.0	.40000000000000002	N	5.9       	URB 
10187000.0	12225000.0	.38	N	5.9       	URB 
12225000.0	16299000.0	.34999999999999998	N	5.9       	URB 
16299000.0	18337000.0	.33000000000000002	N	5.9       	URB 
18337000.0	20374000.0	.31	N	5.9       	URB 
20374000.0	24449000.0	.28999999999999998	N	5.9       	URB 
28527000.0	34636000.0	.28000000000000003	N	5.9       	URB 
34636000.0	999999999.0	.27000000000000002	N	5.9       	URB 
-1.0	4510.0	8.0	N	A.1.2     	H   
4510.0	6010.0	7.5	N	A.1.2     	H   
6010.0	9020.0	7.0	N	A.1.2     	H   
9020.0	12020.0	6.7000000000000002	N	A.1.2     	H   
12020.0	18030.0	6.4000000000000004	N	A.1.2     	H   
18030.0	24040.0	6.25	N	A.1.2     	H   
24040.0	30050.0	6.0999999999999996	N	A.1.2     	H   
30050.0	36060.0	5.9500000000000002	N	A.1.2     	H   
36060.0	42070.0	5.7999999999999998	N	A.1.2     	H   
42070.0	51090.0	5.7000000000000002	N	A.1.2     	H   
51090.0	60100.0	5.5999999999999996	N	A.1.2     	H   
60100.0	75130.0	5.5	N	A.1.2     	H   
75130.0	90150.0	5.4000000000000004	N	A.1.2     	H   
90150.0	120200.0	5.25	N	A.1.2     	H   
120200.0	180300.0	5.0	N	A.1.2     	H   
180300.0	240400.0	4.75	N	A.1.2     	H   
240400.0	300510.0	4.5	N	A.1.2     	H   
300510.0	390660.0	4.25	N	A.1.2     	H   
390660.0	480810.0	4.0	N	A.1.2     	H   
480810.0	601010.0	3.75	N	A.1.2     	H   
601010.0	751270.0	3.5	N	A.1.2     	H   
751270.0	901520.0	3.3799999999999999	N	A.1.2     	H   
901520.0	1051770.0	3.25	N	A.1.2     	H   
1051770.0	1202020.0	3.1499999999999999	N	A.1.2     	H   
1202020.0	1502530.0	3.0499999999999998	N	A.1.2     	H   
1502530.0	1803040.0	2.8500000000000001	N	A.1.2     	H   
1803040.0	2404050.0	2.6499999999999999	N	A.1.2     	H   
2404050.0	2704550.0	2.5	N	A.1.2     	H   
2704550.0	3005060.0	2.3500000000000001	N	A.1.2     	H   
3005060.0	3606070.0	2.2000000000000002	N	A.1.2     	H   
3606070.0	4207080.0	2.1499999999999999	N	A.1.2     	H   
4207080.0	5108600.0	2.1000000000000001	N	A.1.2     	H   
5108600.0	6010120.0	2.0499999999999998	N	A.1.2     	H   
6010120.0	999999999.0	2.0	S	A.1.2     	H   
-1.0	1800.0	8.0	N	A.1.3     	H   
1800.0	3610.0	7.2000000000000002	N	A.1.3     	H   
3610.0	5410.0	6.96	N	A.1.3     	H   
5410.0	7810.0	6.7999999999999998	N	A.1.3     	H   
7810.0	9620.0	6.7199999999999998	N	A.1.3     	H   
9620.0	11420.0	6.4000000000000004	N	A.1.3     	H   
11420.0	13220.0	6.1600000000000001	N	A.1.3     	H   
13220.0	15030.0	6.0	N	A.1.3     	H   
15030.0	16830.0	5.8399999999999999	N	A.1.3     	H   
16830.0	19230.0	5.7599999999999998	N	A.1.3     	H   
19230.0	28850.0	5.4400000000000004	N	A.1.3     	H   
28850.0	38460.0	5.1200000000000001	N	A.1.3     	H   
