contrato_ant	Contracte Ant.	fases	contrato_ant
colegiados.campo_delegacion	Ha d'especificar un valor en el camp delegació	colegiados	campo_delegacion
colegiados.cta_trans	Compte Transferències	colegiados	cta_trans
colegiados.anyos	Anys	colegiados	anyos
colegiados.fecha_colegiacion	Data Col.legiació	colegiados	fecha_colegiacion
colegiados.n_cliente	Nº Client	colegiados	n_cliente
colegiados.campo_colegiado	Ha d'especificar un valor en el camp nombre col.legiat	colegiados	campo_colegiado
colegiados.busqueda_rapido_rep	Cerca ràpida de representants	colegiados	busqueda_rapido_rep
colegiados.valor	Valor	colegiados	valor
colegiados.fam_domiciliacion	Familia domicil.liació	colegiados	fam_domiciliacion
colegiados.campo_f_inicio	Ha d'especificar un valor en el camp data d'inici	colegiados	campo_f_inicio
colegiados.campo_nombre	Ha d'especificar un valor en el camp nom	colegiados	campo_nombre
colegiados.cuota_min	Quota mínima (Col.legiats sense contracte entre dues dades)	colegiados	cuota_min
colegiados.campo_orientacion_profesional	Ha d'especificar un valor en el camp orientació professional	colegiados	campo_orientacion_profesional
colegiados.avisos_duplicados_nif	AVÍS DUPLICITAT DE NIF: Existeix una persona en tercers amb aquest NIF	colegiados	avisos_duplicados_nif
colegiados.avisos	Avisos	colegiados	avisos
colegiados.cobert_exc	Cobert. Exc	colegiados	cobert_exc
colegiados.apellidos_sociedad	Cognoms/Societat	colegiados	apellidos_sociedad
colegiados.tit_consejo	+dades Titulació/consell	colegiados	tit_consejo
Incluir TODOS los conceptos especificados a todos los colegs. de la lista	Incloure TOTS els conceptes especificats a tots el col.leg. de la llista	colegiados	Incluir TODOS los conceptos especificados a todos los colegs. de la lista
colegiados.bonus_malus	Bonus malus	colegiados	bonus_malus
colegiados.ctas_bancarias	Ctes. Bancaris	colegiados	ctas_bancarias
colegiados.cobertura	Cobertura	colegiados	cobertura
colegiados.facturas_creadas	Rang Factures Creades :	colegiados	facturas_creadas
colegiados.valor_asunto	Deu especificar l'asunt per a les factures.	colegiados	valor_asunto
colegiados.tel_particular	Telèfon Part.	colegiados	telefono_particular
colegiados.cambios_dom	Canvis Domicili	colegiados	cambios_dom
colegiados.titulacion	Titulació	colegiados	titulacion
colegiados.cta_bancaria	Comte Bancari	colegiados	cta_bancaria
colegiados.colegiado_valido	Ha d'introduir un nombre de col.legiat vàlid	colegiados	colegiado_valido
colegiados.campo_sexo	Ha d'especificar un valor en el camp sexe	colegiados	campo_sexo
colegiados.num_poliza	Nº Pòlissa	colegiados	num_poliza
colegiados.apellidos	Cognoms	colegiados	apellidos
colegiados.caracteristica	Característica	colegiados	caracteristica
colegiados.campo_sociedad	Ha d'especificar un valor en el camp societat	colegiados	campo_sociedad
colegiados.datos_agrup	Dades Agrupació	colegiados	datos_agrup
