42110.0	51830.0	33.600000000000001	N	A.1.3     	C   
51830.0	61550.0	32.0	N	A.1.3     	C   
61550.0	71270.0	30.800000000000001	N	A.1.3     	C   
71270.0	80990.0	30.0	N	A.1.3     	C   
80990.0	90700.0	29.199999999999999	N	A.1.3     	C   
90700.0	103660.0	28.800000000000001	N	A.1.3     	C   
103660.0	155490.0	27.199999999999999	N	A.1.3     	C   
155490.0	207330.0	25.600000000000001	N	A.1.3     	C   
207330.0	259160.0	24.399999999999999	N	A.1.3     	C   
259160.0	518310.0	20.0	N	A.1.3     	C   
518310.0	777470.0	17.600000000000001	N	A.1.3     	C   
777470.0	1036630.0	16.0	N	A.1.3     	C   
1036630.0	2073250.0	12.0	N	A.1.3     	C   
2073250.0	3109880.0	10.800000000000001	N	A.1.3     	C   
3109880.0	4146500.0	10.0	N	A.1.3     	C   
4146500.0	5183130.0	9.5999999999999996	N	A.1.3     	C   
5183130.0	10366260.0	6.7999999999999998	N	A.1.3     	C   
10366260.0	9999999999999990.0	6.0	S	A.1.3     	C   
-1.0	24290.0	40.0	N	A.1.4     	C   
24290.0	32390.0	37.5	N	A.1.4     	C   
32390.0	48590.0	35.0	N	A.1.4     	C   
48590.0	64790.0	33.5	N	A.1.4     	C   
64790.0	121340.0	32.0	N	A.1.4     	C   
121340.0	129580.0	31.25	N	A.1.4     	C   
129580.0	164970.0	30.5	N	A.1.4     	C   
164970.0	194370.0	29.5	N	A.1.4     	C   
194370.0	226760.0	29.0	N	A.1.4     	C   
226760.0	275350.0	28.5	N	A.1.4     	C   
275350.0	323950.0	28.0	N	A.1.4     	C   
323950.0	404930.0	27.5	N	A.1.4     	C   
404930.0	485920.0	27.0	N	A.1.4     	C   
485920.0	647890.0	26.25	N	A.1.4     	C   
647890.0	971840.0	25.0	N	A.1.4     	C   
971840.0	1295780.0	23.75	N	A.1.4     	C   
1295780.0	1619730.0	22.5	N	A.1.4     	C   
1619730.0	2105650.0	21.25	N	A.1.4     	C   
2105650.0	2591560.0	20.0	N	A.1.4     	C   
2591560.0	3239460.0	18.75	N	A.1.4     	C   
3239460.0	4299940.0	17.5	N	A.1.4     	C   
4299940.0	4859180.0	16.899999999999999	N	A.1.4     	C   
4859180.0	5614960.0	16.25	N	A.1.4     	C   
5614960.0	6478910.0	15.75	N	A.1.4     	C   
6478910.0	8098640.0	15.25	N	A.1.4     	C   
8098640.0	9718370.0	14.25	N	A.1.4     	C   
9718370.0	12957820.0	13.25	N	A.1.4     	C   
12957820.0	14577550.0	12.5	N	A.1.4     	C   
14577550.0	16197280.0	11.75	N	A.1.4     	C   
16197280.0	9999999999999.0	11.0	N	A.1.4     	C   
-1.0	50.0	60.0	N	A.1.6.3   	C   
50.0	100.0	57.0	N	A.1.6.3   	C   
100.0	200.0	52.0	N	A.1.6.3   	C   
200.0	400.0	48.0	N	A.1.6.3   	C   
400.0	600.0	45.0	N	A.1.6.3   	C   
600.0	800.0	43.0	N	A.1.6.3   	C   
800.0	1000.0	41.5	N	A.1.6.3   	C   
1000.0	2000.0	39.0	N	A.1.6.3   	C   
2000.0	3000.0	36.5	N	A.1.6.3   	C   
3000.0	4000.0	35.0	N	A.1.6.3   	C   
4000.0	6000.0	33.5	N	A.1.6.3   	C   
6000.0	8000.0	32.5	N	A.1.6.3   	C   
8000.0	10000.0	31.0	N	A.1.6.3   	C   
10000.0	12000.0	30.5	N	A.1.6.3   	C   
12000.0	14000.0	30.0	N	A.1.6.3   	C   
14000.0	16000.0	29.5	N	A.1.6.3   	C   
16000.0	18000.0	29.0	N	A.1.6.3   	C   
18000.0	20000.0	28.0	N	A.1.6.3   	C   
20000.0	25000.0	27.5	N	A.1.6.3   	C   
25000.0	30000.0	27.0	N	A.1.6.3   	C   
30000.0	35000.0	26.5	N	A.1.6.3   	C   
35000.0	40000.0	26.0	N	A.1.6.3   	C   
40000.0	99999999999.0	25.0	S	A.1.6.3   	C   
-1.0	30050.0	.059999999999999998	N	5.15      	C   
30050.0	45680.0	.058000000000000003	N	5.15      	C   
45680.0	67910.0	.052999999999999999	N	5.15      	C   
67910.0	84740.0	.051999999999999998	N	5.15      	C   
84740.0	108180.0	.049000000000000002	N	5.15      	C   
108180.0	141840.0	.047	N	5.15      	C   
141840.0	179100.0	.043999999999999997	N	5.15      	C   
179100.0	213360.0	.041000000000000002	N	5.15      	C   
213360.0	290890.0	.040000000000000001	N	5.15      	C   
290890.0	366620.0	.039	N	5.15      	C   
366620.0	588990.0	.037999999999999999	N	5.15      	C   
588990.0	811370.0	.036999999999999998	N	5.15      	C   
811370.0	997680.0	.035999999999999997	N	5.15      	C   
997680.0	1382330.0	.034000000000000002	N	5.15      	C   
1382330.0	1887180.0	.033000000000000002	N	5.15      	C   
1887180.0	2325920.0	.032000000000000001	N	5.15      	C   
2325920.0	2914910.0	.031	N	5.15      	C   
2914910.0	3335620.0	.029999999999999999	N	5.15      	C   
3335620.0	3636120.0	.029000000000000001	N	5.15      	C   
3636120.0	4219100.0	.028000000000000001	N	5.15      	C   
4219100.0	4657840.0	.027	N	5.15      	C   
4657840.0	5589410.0	.025999999999999999	N	5.15      	C   
5589410.0	6911640.0	.024	N	5.15      	C   
6911640.0	9015180.0	.021999999999999999	N	5.15      	C   
9015180.0	999999999.0	.02	S	5.15      	C   
-1.0	50.0	3.0	N	1.6.1     	H   
50.0	100.0	2.8500000000000001	N	1.6.1     	H   
100.0	200.0	2.6099999999999999	N	1.6.1     	H   
200.0	400.0	2.3999999999999999	N	1.6.1     	H   
400.0	600.0	2.25	N	1.6.1     	H   
600.0	800.0	2.1600000000000001	N	1.6.1     	H   
800.0	1000.0	2.0699999999999998	N	1.6.1     	H   
