+     	+     	SIN NOMBRE                                                  	0000+	 	F		 
19003 	19003 	GUADALAJARA                                                 	00019	 	F		 
2     	2     	SIN NOMBRE                                                  	00002	 	F		 
20004 	20004 	DONOSTIA                                                    	00020	 	F		 
20008 	20008 	SAN SEBASTIAN                                               	00020	 	F		 
20010 	20010 	SAN SEBASTIAN                                               	00020	 	F		 
20140 	20140 	ANDOAIN                                                     	00020	 	F		 
20280 	20280 	DEBA                                                        	00020	 	F		 
21003 	21003 	HUELVA                                                      	00021	 	F		 
21007 	21007 	ALMONTE                                                     	00021	 	F		 
22002 	22002 	HUESCA                                                      	00022	 	F		 
22003 	22003 	HUESCA                                                      	00022	 	F		 
22004 	22004 	HUESCA                                                      	00022	 	F		 
22194 	22194 	BABASTAS                                                    	00022	 	F		 
22460 	22460 	CABALLERA-SANTALIEST                                        	00022	 	F		 
23001 	23001 	JAEN                                                        	00023	 	F		 
23006 	23006 	JAEN                                                        	00023	 	F		 
23008 	23008 	JAEN                                                        	00023	 	F		 
23500 	23500 	JODAR                                                       	00023	 	F		 
23600 	23600 	MARTOS                                                      	00023	 	F		 
23610 	23610 	FUENSANTA DE MARTOS                                         	00023	 	F		 
23750 	23750 	ARJONILLA                                                   	00023	 	F		 
23760 	23760 	ARJONA                                                      	00023	 	F		 
24004 	24004 	LEON                                                        	00024	 	F		 
24410 	24410 	CAMPONARAYA                                                 	00024	 	F		 
25006 	25006 	LLEIDA                                                      	00025	 	F		 
26004 	26004 	LOGROÑO                                                     	00026	 	F		 
27002 	27002 	LUGO                                                        	00027	 	F		 
27003 	27003 	LUGO                                                        	00027	 	F		 
27500 	27500 	SIN NOMBRE                                                  	00027	 	F		 
28001 	28001 	MADRID                                                      	00028	 	F		 
28003 	28003 	MADRID                                                      	00028	 	F		 
28004 	28004 	MADRID                                                      	00028	 	F		 
28005 	28005 	MADRID                                                      	00028	 	F		 
28006 	28006 	MADRID                                                      	00028	 	F		 
28007 	28007 	MADRID                                                      	00028	 	F		 
28008 	28008 	MADRID                                                      	00028	 	F		 
28009 	28009 	MADRID                                                      	00028	 	F		 
28010 	28010 	MADRID                                                      	00028	 	F		 
28011 	28011 	MADRID                                                      	00028	 	F		 
28012 	28012 	MADRID                                                      	00028	 	F		 
28013 	28013 	MADRID                                                      	00028	 	F		 
28016 	28016 	MADRID                                                      	00028	 	F		 
28017 	28017 	MADRID                                                      	00028	 	F		 
28019 	28019 	MADRID                                                      	00028	 	F		 
28022 	28022 	MADRID                                                      	00028	 	F		 
28023 	28023 	MADRID                                                      	00028	 	F		 
28024 	28024 	MADRID                                                      	00028	 	F		 
28025 	28025 	MADRID                                                      	00028	 	F		 
28026 	28026 	MADRID                                                      	00028	 	F		 
28028 	28028 	MADRID                                                      	00028	 	F		 
28029 	28029 	MADRID                                                      	00028	 	F		 
28031 	28031 	MADRID                                                      	00028	 	F		 
28033 	28033 	MADRID                                                      	00028	 	F		 
28034 	28034 	MADRID                                                      	00028	 	F		 
28035 	28035 	MADRID                                                      	00028	 	F		 
28036 	28036 	MADRID                                                      	00028	 	F		 
28038 	28038 	MADRID                                                      	00028	 	F		 
28039 	28039 	MADRID                                                      	00028	 	F		 
28040 	28040 	MADRID                                                      	00028	 	F		 
28042 	28042 	MADRID                                                      	00028	 	F		 
28043 	28043 	MADRID                                                      	00028	 	F		 
28044 	28044 	MADRID                                                      	00028	 	F		 
28046 	28046 	MADRID                                                      	00028	 	F		 
28100 	28100 	ALCOBENDAS                                                  	00028	 	F		 
28108 	28108 	ALCOBENDAS                                                  	00028	 	F		 
28220 	28220 	MAJADAHONDA                                                 	00028	 	F		 
28223 	28223 	POZUELO DE ALARCON                                          	00028	 	F		 
28230 	28230 	MADRID                                                      	00028	 	F		 
28250 	28250 	TORRELODONES                                                	00028	 	F		 
28260 	28260 	GALAPAGAR                                                   	00028	 	F		 
28300 	28300 	ARANJUEZ                                                    	00028	 	F		 
28340 	28340 	VALDEMORO                                                   	00028	 	F		 
28670 	28670 	VILLAVICIOSA DE ODON                                        	00028	 	F		 
28692 	28692 	VILLAFRANCA DEL CASTILLO                                    	00028	 	F		 
28700 	28700 	S.SEBASTIAN REYES                                           	00028	 	F		 
28708 	28708 	SAN SEBASTIAN REYES                                         	00028	 	F		 
28760 	28760 	TRES CANTOS                                                 	00028	 	F		 
28770 	28770 	COLMENAR VIEJO                                              	00028	 	F		 
28803 	28803 	ALCALA DE HENARES                                           	00028	 	F		 
28830 	28830 	S.FERNANDO D.HENARES                                        	00028	 	F		 
28850 	28850 	TORREJON DE ARDOZ                                           	00028	 	F		 
28922 	28922 	ALCORCON                                                    	00028	 	F		 
29001 	29001 	MALAGA                                                      	00029	 	F		 
29008 	29008 	MALAGA                                                      	00029	 	F		 
29013 	29013 	MALAGA                                                      	00029	 	F		 
29016 	29016 	MALAGA                                                      	00029	 	F		 
29017 	29017 	MALAGA                                                      	00029	 	F		 
29018 	29018 	MALAGA                                                      	00029	 	F		 
29130 	29130 	MALAGA                                                      	00029	 	F		 
29190 	29190 	PUERTO DE LA TORRE                                          	00029	 	F		 
29400 	29400 	RONDA                                                       	00029	 	F		 
29600 	29600 	MARBELLA                                                    	00029	 	F		 
29640 	29640 	FUENGIROLA                                                  	00029	 	F		 
29680 	29680 	ESTEPONA                                                    	00029	 	F		 
3100. 	3100. 	SIN NOMBRE                                                  	00031	 	F		 
31002 	31002 	PAMPLONA                                                    	00031	 	F		 
31004 	31004 	PAMPLONA                                                    	00031	 	F		 
31005 	31005 	PAMPLONA                                                    	00031	 	F		 
3110  	3110  	SIN NOMBRE                                                  	00031	 	F		 
31200 	31200 	ESTELLA                                                     	00031	 	F		 
3150  	3150  	SIN NOMBRE                                                  	00031	 	F		 
32002 	32002 	ORENSE                                                      	00032	 	F		 
32003 	32003 	ORENSE                                                      	00032	 	F		 
32300 	32300 	BARCO DE VALDEORRAS                                         	00032	 	F		 
33001 	33001 	OVIEDO                                                      	00033	 	F		 
33003 	33003 	OVIEDO                                                      	00033	 	F		 
33004 	33004 	OVIEDO                                                      	00033	 	F		 
33007 	33007 	OVIEDO                                                      	00033	 	F		 
33011 	33011 	OVIEDO                                                      	00033	 	F		 
33012 	33012 	OVIEDO                                                      	00033	 	F		 
33013 	33013 	OVIEDO                                                      	00033	 	F		 
33015 	33015 	SIN NOMBRE                                                  	00033	 	F		 
33016 	33016 	SIN NOMBRE                                                  	00033	 	F		 
33020 	33020 	SIN NOMBRE                                                  	00033	 	F		 
33033 	33033 	LOBOSILLO                                                   	00033	 	F		 
33040 	33040 	SIN NOMBRE                                                  	00033	 	F		 
33050 	33050 	SIN NOMBRE                                                  	00033	 	F		 
33051 	33051 	SIN NOMBRE                                                  	00033	 	F		 
33056 	33056 	SIN NOMBRE                                                  	00033	 	F		 
33060 	33060 	SIN NOMBRE                                                  	00033	 	F		 
33062 	33062 	SIN NOMBRE                                                  	00033	 	F		 
33074 	33074 	SIN NOMBRE                                                  	00033	 	F		 
33080 	33080 	SIN NOMBRE                                                  	00033	 	F		 
33083 	33083 	SIN NOMBRE                                                  	00033	 	F		 
33087 	33087 	SIN NOMBRE                                                  	00033	 	F		 
33088 	33088 	SIN NOMBRE                                                  	00033	 	F		 
33089 	33089 	SIN NOMBRE                                                  	00033	 	F		 
33202 	33202 	GIJON                                                       	00033	 	F		 
33900 	33900 	SAMA DE LANGREO                                             	00033	 	F		 
34001 	34001 	PALENCIA                                                    	00034	 	F		 
35001 	35001 	LAS PALMAS G.CANARIA                                        	00035	 	F		 
35004 	35004 	LAS PALMAS G.CANARIA                                        	00035	 	F		 
35005 	35005 	LAS PALMAS G.CANARIA                                        	00035	 	F		 
35010 	35010 	LAS PALMAS G.CANARIA                                        	00035	 	F		 
35011 	35011 	LAS PALMAS DE G.CANA                                        	00035	 	F		 
35290 	35290 	LAS PALMAS G.CANARIA                                        	00035	 	F		 
35414 	35414 	BAÑADEROS-ARUCAS                                            	00035	 	F		 
35550 	35550 	SAN BARTOLOME                                               	00035	 	F		 
35562 	35562 	LANZAROTE                                                   	00035	 	F		 
36001 	36001 	PONTEVEDRA                                                  	00036	 	F		 
36940 	36940 	CANGAS                                                      	00036	 	F		 
36980 	36980 	O GROVE                                                     	00036	 	F		 
37002 	37002 	SALAMANCA                                                   	00037	 	F		 
37003 	37003 	SALAMANCA                                                   	00037	 	F		 
37005 	37005 	SALAMANCA                                                   	00037	 	F		 
37006 	37006 	SALAMANCA                                                   	00037	 	F		 
37007 	37007 	SALAMANCA                                                   	00037	 	F		 
37008 	37008 	SALAMANCA                                                   	00037	 	F		 
37207 	37207 	SALAMANCA                                                   	00037	 	F		 
38001 	38001 	SANTA CRUZ TENERIFE                                         	00038	 	F		 
38002 	38002 	STA.CRUZ DE TENERIFE                                        	00038	 	F		 
38005 	38005 	SANTA CRUZ TENERIFE                                         	00038	 	F		 
38009 	38009 	STA.CRUZ DE TENERIFE                                        	00038	 	F		 
38205 	38205 	LA LAGUNA                                                   	00038	 	F		 
38437 	38437 	ICOD DE LOS VINOS                                           	00038	 	F		 
38700 	38700 	STA.CRUZ DE LA PALMA                                        	00038	 	F		 
38870 	38870 	GOMERA                                                      	00038	 	F		 
39001 	39001 	SANTANDER                                                   	00039	 	F		 
39005 	39005 	SANTANDER                                                   	00039	 	F		 
39006 	39006 	SANTANDER                                                   	00039	 	F		 
39300 	39300 	TORRELAVEGA                                                 	00039	 	F		 
40002 	40002 	SEGOVIA                                                     	00040	 	F		 
40003 	40003 	SEGOVIA                                                     	00040	 	F		 
41007 	41007 	SEVILLA                                                     	00041	 	F		 
41008 	41008 	SEVILLA                                                     	00041	 	F		 
41011 	41011 	SEVILLA                                                     	00041	 	F		 
41013 	41013 	SEVILLA                                                     	00041	 	F		 
41018 	41018 	SEVILLA                                                     	00041	 	F		 
41110 	41110 	BOLLULLOS MITACION                                          	00041	 	F		 
41210 	41210 	GUILLENA                                                    	00041	 	F		 
414   	414   	PLIEGO-MULA                                                 	00041	 	F		 
41400 	41400 	ECIJA                                                       	00041	 	F		 
41740 	41740 	LEBRIJA                                                     	00041	 	F		 
42001 	42001 	SORIA                                                       	00042	 	F		 
42003 	42003 	SORIA                                                       	00042	 	F		 
43005 	43005 	TARRAGONA                                                   	00043	 	F		 
43411 	43411 	BLANCAFORT                                                  	00043	 	F		 
43480 	43480 	VILASECA DE SOLCINA                                         	00043	 	F		 
43540 	43540 	S.CARLES DE RAPITA                                          	00043	 	F		 
43550 	43550 	ULLDECONA                                                   	00043	 	F		 
43896 	43896 	L,ALDEA                                                     	00043	 	F		 
44001 	44001 	TERUEL                                                      	00044	 	F		 
45001 	45001 	TOLEDO                                                      	00045	 	F		 
45002 	45002 	TOLEDO                                                      	00045	 	F		 
45005 	45005 	TOLEDO                                                      	00045	 	F		 
45840 	45840 	PUEBLA DE ALMORADIEL                                        	00045	 	F		 
46002 	46002 	VALENCIA                                                    	00046	 	F		 
46003 	46003 	VALENCIA                                                    	00046	 	F		 
46004 	46004 	VALENCIA                                                    	00046	 	F		 
46005 	46005 	VALENCIA                                                    	00046	 	F		 
46006 	46006 	VALENCIA                                                    	00046	 	F		 
46007 	46007 	VALENCIA                                                    	00046	 	F		 
46008 	46008 	VALENCIA                                                    	00046	 	F		 
46009 	46009 	VALENCIA                                                    	00046	 	F		 
46014 	46014 	VALENCIA                                                    	00046	 	F		 
46016 	46016 	TAVERNES BLANQUES                                           	00046	 	F		 
46020 	46020 	VALENCIA                                                    	00046	 	F		 
46021 	46021 	VALENCIA                                                    	00046	 	F		 
46022 	46022 	VALENCIA                                                    	00046	 	F		 
46023 	46023 	SIN NOMBRE                                                  	00046	 	F		 
46025 	46025 	VALENCIA                                                    	00046	 	F		 
46026 	46026 	VALENCIA                                                    	00046	 	F		 
46100 	46100 	BURJASOT                                                    	00046	 	F		 
46114 	46114 	VALENCIA                                                    	00046	 	F		 
46118 	46118 	SERRA                                                       	00046	 	F		 
46130 	46130 	MASAMAGRELL                                                 	00046	 	F		 
46160 	46160 	LIRIA                                                       	00046	 	F		 
46185 	46185 	POBLA DE VALLBONA, LA                                       	00046	 	F		 
46200 	46200 	PAIPORTA                                                    	00046	 	F		 
46220 	46220 	PICASSENT                                                   	00046	 	F		 
46400 	46400 	CULLERA                                                     	00046	 	F		 
46430 	46430 	SOLLANA                                                     	00046	 	F		 
46460 	46460 	SILLA                                                       	00046	 	F		 
46520 	46520 	PUERTO SANGUNTO                                             	00046	 	F		 
46600 	46600 	ALCIRA                                                      	00046	 	F		 
46800 	46800 	JATIVA                                                      	00046	 	F		 
46812 	46812 	AIELO DE MALFERIT                                           	00046	 	F		 
46900 	46900 	TORRENT                                                     	00046	 	F		 
46940 	46940 	MANISES                                                     	00046	 	F		 
46980 	46980 	PATERNA                                                     	00046	 	F		 
47001 	47001 	VALLADOLID                                                  	00047	 	F		 
47008 	47008 	VALLADOLID                                                  	00047	 	F		 
47012 	47012 	VALLADOLID                                                  	00047	 	F		 
47400 	47400 	MEDINA DEL CAMPO                                            	00047	 	F		 
48008 	48008 	BILBAO                                                      	00048	 	F		 
48009 	48009 	BILBAO                                                      	00048	 	F		 
48011 	48011 	BILBAO                                                      	00048	 	F		 
48015 	48015 	BILBAO                                                      	00048	 	F		 
49004 	49004 	ZAMORA                                                      	00049	 	F		 
49022 	49022 	ZAMORA                                                      	00049	 	F		 
50001 	50001 	ZARAGOZA                                                    	00050	 	F		 
50008 	50008 	ZARAGOZA                                                    	00050	 	F		 
50009 	50009 	ZARAGOZA                                                    	00050	 	F		 
50010 	50010 	ZARAGOZA                                                    	00050	 	F		 
50011 	50011 	ZARAGOZA                                                    	00050	 	F		 
50500 	50500 	TARAZONA                                                    	00050	 	F		 
AGUIL 	AGUIL 	SIN NOMBRE                                                  	000AG	 	F		 
Ç     	Ç     	SIN NOMBRE                                                  	0000Ç	 	F		 
LORCA 	LORCA 	LORCA                                                       	000LO	 	F		 
MULA  	MULA  	SIN NOMBRE                                                  	000MU	 	F		 
O6005 	O6005 	BADAJOZ                                                     	000O6	 	F		 
S30   	S30   	SIN NOMBRE                                                  	000S3	 	F		 
03189 	03189 	CAMPOAMOR                                                   	00003	 	F		 
1     	30640 	ABANILLA                                                    	00030	 	F		 
18500 	18500 	GUADIX                                                      	00018	 	F		 
29200 	29200 	ANTEQUERA                                                   	00029	 	F		 
030837	030837	CAÑADA HERMOSA                                              	00028	 	F		 
030835	030835	SANGONERA LA SECA                                           	00030	 	F		 
300101	3010  	ALBUDEITE                                                   	00030	 	F		 
16600 	16600 	SAN CLEMENTE                                                	00016	 	F		 
41005 	41005 	SEVILLA                                                     	00041	 	F		 
03191 	03191 	TORRE DE LA HORADADA                                        	00003	 	F		 
08207 	08207 	SABADELL                                                    	00008	 	F		 
28070 	28070 	MADRID                                                      	00028	 	F		 
30    	30    	SIN NOMBRE                                                  	00001	 	F		 
28942 	28942 	FUENLABRADA                                                 	00028	 	F		 
48270 	48270 	VIZCAYA                                                     	00048	 	F		 
18830 	18830 	HUESCAR                                                     	00018	 	F		 
08860 	08860 	CASTELLDEFELS                                               	00008	 	F		 
28935 	28935 	MOSTOLES                                                    	00028	 	F		 
28500 	28500 	ARGANDA DEL REY                                             	00028	 	F		 
03803 	03803 	ALCOY                                                       	00003	 	F		 
03293 	03293 	ELCHE                                                       	00003	 	F		 
300071	300071	SANTIAGO Y ZARAICHE                                         	00030	 	F		 
30351 	30351 	ALUMBRES (CARTAGENA)                                        	00030	016	F		 
28109 	28109 	ALCOBENDAS                                                  	00028	 	F		 
08029 	08029 	BARCELONA                                                   	00008	 	F		 
28020 	28020 	MADRID                                                      	00028	 	F		 
03012 	03012 	ALICANTE                                                    	00003	014	F		 
08190 	08190 	SAN CUGAT DEL VALLES                                        	00008	 	F		 
02530 	02530 	NERPIO                                                      	00002	A	F		 
308301	308301	LA ÑORA                                                     	00028	 	F		 
+Ç    	+Ç    	DESCONOCIDO                                                 	00000	 	F		 
?     	?     	DESCONOCIDO                                                 	00000	 	F		 
0000  	0000  	DESCONOCIDO                                                 	00000	 	F		 
12019 	12019 	DESCONOCIDO                                                 	00000	 	F		 
16    	16    	DESCONOCIDO                                                 	00000	 	F		 
28    	28    	DESCONOCIDO                                                 	00000	 	F		 
3011  	3011  	DESCONOCIDO                                                 	00000	 	F		 
3012  	3012  	DESCONOCIDO                                                 	00000	 	F		 
30250 	30250 	DESCONOCIDO                                                 	00000	 	F		 
30311 	30311 	DESCONOCIDO                                                 	00000	 	F		 
30371 	30371 	DESCONOCIDO                                                 	00000	 	F		 
30389 	30389 	DESCONOCIDO                                                 	00000	 	F		 
305881	305881	DESCONOCIDO                                                 	00000	 	F		 
30858 	30858 	PARETON                                                     	00030	30	F		 
31310 	31310 	DESCONOCIDO                                                 	00000	 	F		 
3230  	3230  	DESCONOCIDO                                                 	00000	 	F		 
33031 	33031 	DESCONOCIDO                                                 	00000	 	F		 
33037 	33037 	DESCONOCIDO                                                 	00000	 	F		 
33070 	33070 	DESCONOCIDO                                                 	00000	 	F		 
33086 	33086 	DESCONOCIDO                                                 	00000	 	F		 
3310  	3310  	DESCONOCIDO                                                 	00000	 	F		 
36000 	36000 	DESCONOCIDO                                                 	00000	 	F		 
902   	902   	DESCONOCIDO                                                 	00000	 	F		 
ç     	ç     	DESCONOCIDO                                                 	00000	 	F		 
CARTA 	CARTA 	DESCONOCIDO                                                 	00000	 	F		 
