0000000537	0000000304	CC-003	85.0	1.0
0000000538	0000000305	CC-001	25.0	1.0
0000000539	0000000305	CC-002	40.0	1.0
0000000540	0000000305	CC-003	60.0	1.0
0000000541	0000000306	CC-001	25.0	1.0
0000000542	0000000306	CC-002	40.0	1.0
0000000543	0000000306	CC-003	60.0	1.0
0000000544	0000000307	CC-001	25.0	1.0
0000000545	0000000307	CC-002	40.0	1.0
0000000546	0000000307	CC-003	60.0	1.0
0000000547	0000000308	CC-001	25.0	1.0
0000000548	0000000308	CC-002	40.0	1.0
0000000549	0000000308	CC-003	60.0	1.0
0000000550	0000000309	CC-001	25.0	1.0
0000000551	0000000309	CC-002	30.0	1.0
0000000552	0000000309	CC-003	40.0	1.0
0000000553	0000000310	CC-001	25.0	1.0
0000000554	0000000310	CC-002	30.0	1.0
0000000555	0000000310	CC-003	40.0	1.0
0000000556	0000000311	CC-001	25.0	1.0
0000000557	0000000311	CC-002	30.0	1.0
0000000558	0000000311	CC-003	40.0	1.0
0000000559	0000000312	CC-001	25.0	1.0
0000000560	0000000312	CC-002	30.0	1.0
0000000561	0000000312	CC-003	40.0	1.0
0000000562	0000000313	CC-001	25.0	1.0
0000000563	0000000313	CC-002	30.0	1.0
0000000564	0000000313	CC-003	40.0	1.0
0000000565	0000000314	CC-001	25.0	1.0
0000000566	0000000314	CC-002	30.0	1.0
0000000567	0000000314	CC-003	40.0	1.0
0000000568	0000000315	CC-001	25.0	1.0
0000000569	0000000315	CC-002	30.0	1.0
0000000570	0000000315	CC-003	40.0	1.0
0000000571	0000000316	CC-001	25.0	1.0
0000000572	0000000316	CC-002	30.0	1.0
0000000573	0000000316	CC-003	40.0	1.0
0000000574	0000000317	CC-001	25.0	1.0
0000000575	0000000317	CC-002	30.0	1.0
0000000576	0000000317	CC-003	40.0	1.0
0000000577	0000000318	CC-001	25.0	1.0
0000000578	0000000318	CC-002	30.0	1.0
0000000579	0000000318	CC-003	40.0	1.0
0000000580	0000000319	CC-001	25.0	1.0
0000000581	0000000319	CC-002	30.0	1.0
0000000582	0000000319	CC-003	40.0	1.0
